Crakehill,Skip Bridge,Westwick,Arkengarthdale,East Cowton,Malham Tarn,Snaizeholme,Skelton
0.109213545,0.11445698,0.115339674,0.1,0.1,0.171111111,0.133333333,0.119632498
0.111305864,0.111933066,0.106823844,0.1,0.1,0.163492063,0.10952381,0.113763991
0.127750757,0.125289619,0.118831143,0.1,0.1,0.1,0.1,0.131999568
0.123199046,0.119888443,0.111949251,0.1,0.138647343,0.1,0.1,0.125951045
0.263861613,0.293442871,0.206408103,0.105683837,0.107729469,0.125396825,0.10952381,0.250197792
0.127530513,0.107198203,0.120316737,0.128419183,0.1,0.1,0.138095238,0.160009991
0.23522988,0.260268544,0.194564198,0.108525755,0.1,0.153333333,0.142857143,0.247839588
0.289556759,0.234060221,0.218684142,0.165364121,0.200483092,0.300634921,0.171428571,0.325390296
0.119491603,0.118010651,0.108384685,0.1,0.1,0.1,0.111904762,0.120154543
0.225685969,0.333441862,0.184367131,0.102841918,0.204347826,0.133015873,0.107142857,0.252916027
0.10609342,0.107420307,0.10319908,0.1,0.1,0.1,0.1,0.107017007
0.308644581,0.287375382,0.271421661,0.279040853,0.270048309,0.267619048,0.221428571,0.459861928
0.116738552,0.1202216,0.112334087,0.102841918,0.12705314,0.1,0.102380952,0.121792685
0.10429476,0.106582368,0.103474269,0.136944938,0.15410628,0.243492063,0.194047619,0.111855826
0.126833073,0.111135509,0.112310438,0.1,0.1,0.1,0.1,0.124474917
0.176498119,0.113709901,0.149282599,0.114209591,0.1,0.158412698,0.14047619,0.145014694
0.166587134,0.182804573,0.156942761,0.1,0.1,0.102539683,0.102380952,0.192520803
0.11288428,0.118899069,0.134944787,0.173889876,0.1,0.183809524,0.10952381,0.164654393
0.258722584,0.287011938,0.192659369,0.1,0.1,0.105079365,0.1,0.261106736
0.335808021,0.344133162,0.199848699,0.1,0.1,0.1,0.1,0.27075557
0.107561714,0.108015951,0.106054173,0.1,0.1,0.1,0.102380952,0.111139364
0.142727356,0.139120668,0.11703596,0.1,0.1,0.1,0.1,0.14924506
0.223483528,0.266800434,0.166836689,0.102841918,0.1,0.138095238,0.121428571,0.242367115
0.12037258,0.113326266,0.114499055,0.122735346,0.12705314,0.145714286,0.119047619,0.127319163
0.112957695,0.108621691,0.111678361,0.11705151,0.111594203,0.178730159,0.133333333,0.114736075
0.106570616,0.104189697,0.1066497,0.142628774,0.196618357,0.155873016,0.1,0.117382304
0.116224649,0.113497893,0.109375798,0.142628774,0.148309179,0.105079365,0.173809524,0.12092861
